id_film;url;type_film;multilingues;nationalite;titre;genre;duree;reprise;couleur;note_presse;note_spectateurs;age_acteur;date
3239;http://www.allocine.fr/film/fichefilm_gen_cfilm=3239.html;Long-métrage;FALSE;britannique;The Lodger: A Story of the London Fog;Drame;;TRUE;N&B;5;3,9;140;17/11/2010
3243;http://www.allocine.fr/film/fichefilm_gen_cfilm=3243.html;Long-métrage;FALSE;espagnol;La Chasse;Drame;91;FALSE;N&B;;3,5;67;09/10/2013
3253;http://www.allocine.fr/film/fichefilm_gen_cfilm=3253.html;Long-métrage;FALSE;britannique;One plus one / Sympathy for the devil;Documentaire;;TRUE;Couleur;4,3;3;41,05145448;03/05/2006
3317;http://www.allocine.fr/film/fichefilm_gen_cfilm=3317.html;Long-métrage;FALSE;français;Cuisine et dépendances;Comédie;96;FALSE;Couleur;;3,5;33;07/04/1993
3379;http://www.allocine.fr/film/fichefilm_gen_cfilm=3379.html;Long-métrage;FALSE;français;Crime a Abidjan;Divers;90;FALSE;Couleur;;;41,05145448;14/08/1996
3392;http://www.allocine.fr/film/fichefilm_gen_cfilm=3392.html;Long-métrage;FALSE;français;Gandahar;Animation;83;FALSE;Couleur;;3,9;41,05145448;02/03/1998
3409;http://www.allocine.fr/film/fichefilm_gen_cfilm=3409.html;Long-métrage;FALSE;danois;Sofie;Comédie dramatique;146;FALSE;Couleur;;;71;11/01/1995
3429;http://www.allocine.fr/film/fichefilm_gen_cfilm=3429.html;Long-métrage;FALSE;français;Le plus bel âge...;Drame;85;FALSE;Couleur;;2,7;22;13/09/1995
3432;http://www.allocine.fr/film/fichefilm_gen_cfilm=3432.html;Long-métrage;FALSE;italien;Le Cahier volé;Comédie dramatique;110;FALSE;Couleur;;3,1;20;28/04/1993
3447;http://www.allocine.fr/film/fichefilm_gen_cfilm=3447.html;Long-métrage;FALSE;français;L'Incompris;Drame;105;TRUE;Couleur;5;3,9;89;24/04/2002
3486;http://www.allocine.fr/film/fichefilm_gen_cfilm=3486.html;Long-métrage;FALSE;français;Les Histoires d'amour finissent mal... en général;Comédie dramatique;85;FALSE;Couleur;;;41,05145448;28/04/1993
3496;http://www.allocine.fr/film/fichefilm_gen_cfilm=3496.html;Long-métrage;FALSE;britannique;The Last September;Comédie dramatique;100;FALSE;Couleur;3;3,2;42;23/08/2000
3625;http://www.allocine.fr/film/fichefilm_gen_cfilm=3625.html;Long-métrage;TRUE;italien;Voyage en Italie;Drame;97;TRUE;N&B;5;3,6;84;01/07/1999
3771;http://www.allocine.fr/film/fichefilm_gen_cfilm=3771.html;Long-métrage;TRUE;italien;Le Carrosse d'or;Comédie dramatique;;TRUE;Couleur;4,5;3,8;104;31/10/2012
3779;http://www.allocine.fr/film/fichefilm_gen_cfilm=3779.html;Long-métrage;FALSE;britannique;Under the Skin;Drame;82;FALSE;Couleur;;;21;05/05/1999
3837;http://www.allocine.fr/film/fichefilm_gen_cfilm=3837.html;Long-métrage;FALSE;britannique;Trilogie Bill Douglas : My Way Home;Comédie dramatique;;TRUE;N&B;5;3,8;41,05145448;31/07/2013
3871;http://www.allocine.fr/film/fichefilm_gen_cfilm=3871.html;Long-métrage;FALSE;français;L'annonce faite à Marius;Comédie;85;FALSE;Couleur;;2,4;38;28/01/1998
3912;http://www.allocine.fr/film/fichefilm_gen_cfilm=3912.html;Long-métrage;FALSE;français;Falstaff;Drame;113;FALSE;N&B;;3,6;93;22/07/2015
3940;http://www.allocine.fr/film/fichefilm_gen_cfilm=3940.html;Long-métrage;TRUE;britannique;Salaam Bombay!;Drame;113;TRUE;Couleur;;3,9;41,05145448;04/01/2003
3949;http://www.allocine.fr/film/fichefilm_gen_cfilm=3949.html;Long-métrage;FALSE;français;Encore;Drame;;TRUE;Couleur;;3,3;47;06/07/2005
3966;http://www.allocine.fr/film/fichefilm_gen_cfilm=3966.html;Long-métrage;FALSE;français;En haut des marches;Drame;92;TRUE;Couleur;;3,2;88;06/07/2005
3976;http://www.allocine.fr/film/fichefilm_gen_cfilm=3976.html;Long-métrage;FALSE;britannique;Forever;Drame;110;FALSE;Couleur;;3,6;28;11/02/1998
4007;http://www.allocine.fr/film/fichefilm_gen_cfilm=4007.html;Long-métrage;FALSE;français;Le Café des jules;Comédie dramatique;;TRUE;Couleur;;3;61;06/07/2005
4013;http://www.allocine.fr/film/fichefilm_gen_cfilm=4013.html;Long-métrage;FALSE;français;Ces messieurs dames;Comédie;;TRUE;N&B;4,7;3,7;80;29/07/2009
4082;http://www.allocine.fr/film/fichefilm_gen_cfilm=4082.html;Long-métrage;TRUE;britannique;Colonel Blimp;Drame;163;TRUE;Couleur;4,3;3,8;96;22/04/2002
4084;http://www.allocine.fr/film/fichefilm_gen_cfilm=4084.html;Long-métrage;FALSE;hongrois;Les Sans-Espoir;Drame;95;TRUE;N&B;;3,5;41,05145448;15/11/2006
4131;http://www.allocine.fr/film/fichefilm_gen_cfilm=4131.html;Long-métrage;FALSE;français;Porte des Lilas;Comédie dramatique;;TRUE;N&B;3;3,4;95;10/10/2001
